Question (English),Question (Sinhala),Answer (English),Answer (Sinhala)
How much sleep does a newborn need?,අලුත උපන් බිළිඳෙකුට නින්ද කොපමණ ප්‍රමාණයක් අවශ්‍යද?,Newborns sleep 14-17 hours a day in short periods.,අලුත උපන් බිළිඳුන් කෙටි කාල වලදී දිනකට පැය 14-17ක් නිදා ගනී.
When will my baby sleep through the night?,මගේ දරුවා සමස්ත රාත්‍රිය නිදාගන්නේ කවදාද?,Most babies can sleep 6-8 hours straight by 4-6 months.,බොහෝ බිළිඳුන්ට මාස 4-6 වන විට පැය 6-8ක් අඛණ්ඩව නිදා ගත හැක.
What is a good bedtime routine?,හොඳ නින්දට යාමේ චර්යාවක් කුමක්ද?,"Bath, book, lullaby, and bed at the same time each night.","නාන්න, පොත, නිදිගීතය සහ සෑම රාත්‍රියකම එකම වේලාවට ඇඳට යාම."
Is co-sleeping safe?,එක්ව නිදා ගැනීම ආරක්ෂිතද?,"AAP recommends room-sharing without bed-sharing for safety.",ආරක්ෂාව සඳහා AAP විසින් ඇඳ බෙදා නොගෙන කාමර බෙදා ගැනීම නිර්දේශ කරයි.
How do I handle night wakings?,රාත්‍රී අවදිවීම් පාලනය කරන්නේ කෙසේද?,Keep interactions quiet and boring; avoid turning on bright lights.,අන්තර්ක්‍රියා නිහඬව සහ කම්මැලි ලෙස තබා ගන්න; දීප්තිමත් ආලෝක දල්වා ගැනීමෙන් වළකින්න.
When should I drop the nap?,මම නැවතුම් මලාගැනීම නතර කළ යුත්තේ කවදාද?,Most children transition away from naps between ages 3 and 5.,බොහෝ දරුවන් වයස අවුරුදු 3 සහ 5 අතර නින්දෙන් ඉවත් වේ.
What is sleep regression?,නින්දේ පසුබෑම කුමක්ද?,Temporary periods when a good sleeper suddenly wakes more often.,හොඳ නින්ද යන්නෙකු හදිසියේ නිතරම අවදි වන තාවකාලික කාල වකවානු.
How can I create a sleep-friendly environment?,නින්දට හිතකර පරිසරයක් නිර්මාණය කරන්නේ කෙසේද?,"Keep room dark, cool (65-70°F), and quiet; use white noise if needed.","කාමරය අඳුරු, සිසිල් (65-70°F) සහ නිහඬව තබා ගන්න; අවශ්‍ය නම් සුදු ශබ්දය භාවිතා කරන්න."
Should I wake my baby to feed?,මම මගේ දරුවා ආහාර දීමට අවදි කළ යුතුද?,"In first few weeks yes, after that let them sleep unless doctor advises.","පළමු සති කිහිපය තුළ ඔව්, ඉන් පසු වෛද්‍යවරයා උපදෙස් නොදෙන්නේ නම් ඔවුන්ට නිදා ගන්න ඉඩ දෙන්න."
What are safe sleep practices?,ආරක්ෂිත නින්දේ ක්‍රම මොනවාද?,"Back to sleep, firm mattress, no loose bedding, room-sharing.","පිටුපසට නිදා ගැනීම, තද මෙට්ටයක්, ලිහිල් ඇඳ ඇතිරිලි නැත, කාමර බෙදා ගැනීම."
How do I deal with early morning waking?,උදෑසන ඉක්මන් අවදිවීම් පාලනය කරන්නේ කෙසේද?,Use blackout curtains and maintain consistent bedtime.,අඳුරු දිලීර භාවිතා කර නිරන්තර නින්දට යාමේ වේලාව පවත්වා ගන්න.
What is the cry-it-out method?,cry-it-out ක්‍රමය කුමක්ද?,A sleep training method where baby learns to self-soothe by crying briefly.,බිළිඳා කෙටියෙන් අඬමින් ස්වයං සනසන්නට ඉගෙන ගන්නා නින්ද පුහුණු කිරීමේ ක්‍රමයක්.
How much daytime sleep do toddlers need?,දරුවන්ට දිවා කාලයේ නින්ද කොපමණ ප්‍රමාණයක් අවශ්‍යද?,"1-3 years: about 2-3 hours of daytime naps.","අවුරුදු 1-3: දිවා කාල නින්ද පැය 2-3ක් පමණ."
Should I use a sleep sack?,මම නින්දේ මලුවක් (sleep sack) භාවිතා කළ යුතුද?,"Yes, it's safer than loose blankets and keeps baby warm.","ඔව්, එය ලිහිල් බ්ලැන්කට් වලට වඩා ආරක්ෂිතයි සහ දරුවා උණුසුම්ව තබයි."
What causes nightmares in toddlers?,දරුවන්ගේ බියකරු සිහින ඇති කරන්නේ කුමක්ද?,"Normal development, imagination, stress, or scary TV shows.","සාමාන්‍ය සංවර්ධනය, මනඃකල්පිතය, ආතතිය හෝ භයානක රූපවාහිනී වැඩසටහන්."
How do I transition from crib to bed?,උදුන සිට ඇඳට මාරු වීම කරන්නේ කෙසේද?,"Around age 2-3; make it exciting, use bed rails, maintain routine.","වයස අවුරුදු 2-3 දී පමණ; එය උද්යෝගිමත් කරන්න, ඇඳ රේල් භාවිතා කරන්න, චර්යාව පවත්වා ගන්න."
Can teething affect sleep?,දත් නැගීම නින්දට බලපාන්නේද?,"Yes, temporarily; offer comfort but stick to sleep routine.","ඔව්, තාවකාලිකව; සුවපහසුව ලබා දෙන්න නමුත් නින්දේ චර්යාවට ඇලී සිටින්න."
What is the Ferber method?,Ferber ක්‍රමය කුමක්ද?,Gradual sleep training with timed check-ins to teach self-soothing.,ස්වයං සැනසීම ඉගැන්වීමට කාල පරීක්ෂා කිරීම් සහිත ක්‍රමික නින්ද පුහුණුව.
How late is too late for a nap?,නින්දට බොහෝ ප්‍රමාද වන්නේ කෙසේද?,Avoid naps after 3-4 PM as they can interfere with nighttime sleep.,රාත්‍රී නින්දට බාධා කළ හැකි බැවින් සවස 3-4 ට පසු නින්දෙන් වළකින්න.
Should I use a nightlight?,මම රාත්‍රී ආලෝකයක් භාවිතා කළ යුතුද?,"A dim red or orange light is okay if it helps your child feel secure.","ඔබේ දරුවාට ආරක්ෂිතව දැනෙන්නට එය උපකාරී වන්නේ නම් අඳුරු රතු හෝ තැඹිලි ආලෝකයක් සුදුසුය."
What temperature should the nursery be?,තවාන් කාමරය කුමන උෂ්ණත්වයක තිබිය යුතුද?,"Between 68-72°F (20-22°C) for safe, comfortable sleep.","ආරක්ෂිත, සුවපහසු නින්දක් සඳහා 68-72°F (20-22°C) අතර."
How do I handle daylight saving time changes?,දිවා ආලෝකය ඉතිරිකිරීමේ වේලා වෙනස්කම් පාලනය කරන්නේ කෙසේද?,Gradually shift bedtime by 10-15 minutes daily for a week before.,සතියකට පෙර දිනපතා නින්දට යන වේලාව විනාඩි 10-15කින් ක්‍රමයෙන් වෙනස් කරන්න.
Why does my toddler fight bedtime?,මගේ දරුවා නින්දට යාමට එරෙහිව සටන් කරන්නේ ඇයි?,"Fear of missing out, overtiredness, or need for independence.","අහිමි වීමේ බිය, අධික තෙහෙට්ටුව හෝ ස්වාධීනත්වය සඳහා අවශ්‍යතාවය."
What are sleep terrors?,නින්දේ භීතිය (sleep terrors) කුමක්ද?,"Partial wakings with screaming, not fully awake; different from nightmares.","කෑගැසීම සමඟ අර්ධ අවදිවීම්, සම්පූර්ණයෙන් අවදි නොවේ; බියකරු සිහිනවලින් වෙනස්."
How can I help my child fall asleep independently?,මගේ දරුවා ස්වාධීනව නින්දට වැටීමට උදවු කරන්නේ කෙසේද?,Put them down drowsy but awake; consistent routine helps.,ඔවුන් නිදිමත ස්ථානගත කරන්න නමුත් අවදිව; අඛණ්ඩ චර්යාව උපකාරී වේ.
