Question (English),Question (Sinhala),Answer (English),Answer (Sinhala)
How do I teach my child to be patient?,මගේ දරුවාට ඉවසිලිවන්ත වීමට උගන්වන්නේ කෙසේද?,Use a timer for small waits and praise them for waiting calmly.,"සුළු වේලාවක් රැඳී සිටීමට ටයිමරයක් භාවිතා කර, සන්සුන්ව සිටීම ගැන ඔවුන්ව අගය කරන්න."
"Is ""Time-Out"" effective for a 3-year-old?","අවුරුදු 3ක දරුවෙකුට ""Time-Out"" කිරීම සාර්ථකද?","Yes, if kept short (1 minute per year of age) and used consistently.","ඔව්, කෙටි කාලයකට (වයස අවුරුදු ගණනට විනාඩිය බැගින්) සහ නිරන්තරයෙන් කරන්නේ නම් එය සාර්ථකයි."
How can I help my child handle big emotions?,"දරුවාගේ දැඩි හැඟීම් (තරහ, දුක) පාලනය කිරීමට උදවු කරන්නේ කෙසේද?","Help them name the emotion (e.g., ""I see you are feeling sad"") to validate them.","හැඟීම නම් කිරීමට උදවු කරන්න (උදා: ""ඔයා ඉන්නේ දුකෙන් කියලා මට තේරෙනවා""), එවිට ඔවුන්ට සහනයක් දැනේ."
When should a child know their left from right?,දරුවෙකු වම සහ දකුණ හඳුනාගත යුත්තේ කවදාද?,Most children begin to distinguish left from right around age 5.,බොහෝ දරුවන් වයස අවුරුදු 5 දී පමණ වම සහ දකුණ වෙන්කර හඳුනා ගැනීමට පටන් ගනී.
How do I encourage my child to read?,මගේ දරුවාට කියවීමට දිරිමත් කරන්නේ කෙසේද?,Read aloud to them every day and let them pick their favorite books.,දිනපතා ඔවුන්ට ඇසෙන සේ පොත් කියවන්න සහ ඔවුන් කැමති පොත් තෝරා ගැනීමට ඉඩ දෙන්න.
Why is my 4-year-old suddenly defiant?,මගේ අවුරුදු 4ක දරුවා හදිසියේම අකීකරු වන්නේ ඇයි?,They are testing their independence; give them small choices to feel in control.,ඔවුන් තම ස්වාධීනත්වය පරීක්ෂා කරයි; පාලනය ඔවුන් සතු බව දැනීමට කුඩා තේරීම් ලබා දෙන්න.
How can I teach my child to tidy up toys?,සෙල්ලම් බඩු අස් කිරීමට දරුවාට උගන්වන්නේ කෙසේද?,"Make it a race or sing a ""cleanup song"" to make it fun.","එය තරඟයක් ලෙස හෝ ""අස් කිරීමේ ගීතයක්"" ගායනා කරමින් විනෝදජනක ලෙස කරන්න."
Should I give my child a reward for good behavior?,හොඳ හැසිරීම් සඳහා දරුවාට තෑගි දිය යුතුද?,"Small rewards or stickers work well, but verbal praise is most important.","ස්ටිකර් හෝ කුඩා තෑගි හොඳයි, නමුත් වාචික අගය කිරීම වඩාත් වැදගත් වේ."
How do I prepare my child for the first day of school?,පාසලේ පළමු දිනය සඳහා දරුවාව සූදානම් කරන්නේ කෙසේද?,Visit the school beforehand and talk about the fun activities they will do.,කලින් පාසලට ගොස් පෙන්වන්න සහ එහිදී කරන විනෝදජනක දේවල් ගැන කතා කරන්න.
What if my child is bullied at preschool?,මගේ දරුවාට පෙරපාසලේදී කවුරුහරි හිරිහැර කළහොත් කුමක් කළ යුතුද?,"Listen to them, stay calm, and speak with the teacher immediately.","දරුවාට සවන් දෙන්න, සන්සුන්ව සිටින්න, සහ වහාම ගුරුවරයා සමඟ ඒ ගැන කතා කරන්න."
"How can I teach my child to say ""Sorry""?","දරුවාට ""සමාවෙන්න"" කියා පවසන්න උගන්වන්නේ කෙසේද?",Teach them the meaning of the word by apologizing yourself when you make a mistake.,ඔබ අතින් වැරදීමක් වූ විට ඔබත් සමාව ඉල්ලා එම වචනයේ තේරුම ඔවුන්ට පෙන්වන්න.
"Why does my child have a ""security blanket""?",මගේ දරුවා රෙදි කැබැල්ලකට හෝ සෙල්ලම් බඩුවකට දැඩිව ඇලුම් කරන්නේ ඇයි?,It provides emotional comfort and helps them feel safe during transitions.,එය ඔවුන්ට මානසික සැනසීමක් සහ ආරක්ෂිත හැඟීමක් ලබා දෙයි.
How much water should a 5-year-old drink?,අවුරුදු 5ක දරුවෙකු වතුර කොපමණ ප්‍රමාණයක් බී යුතුද?,About 5 cups of water per day is recommended for hydration.,විජලනය වැළැක්වීම සඳහා දිනකට වතුර කෝප්ප 5ක් පමණ නිර්දේශ කෙරේ.
How do I teach my child about money?,මගේ දරුවාට මුදල් ගැන උගන්වන්නේ කෙසේද?,Use a piggy bank and explain that items in stores cost money.,කැටයකට කාසි දැමීමට පුරුදු කර කඩේ ඇති දේවල් ගැනීමට මුදල් අවශ්‍ය බව පවසන්න.
When should a child know how to tie shoelaces?,දරුවෙකු සපත්තු ලේස් ගැටගැසීමට ඉගෙන ගත යුත්තේ කවදාද?,Usually between ages 5 and 6 as their fine motor skills improve.,සාමාන්‍යයෙන් අවුරුදු 5ත් 6ත් අතර කාලයේදී ඔවුන්ට මෙය කළ හැක.
How can I reduce my child's screen addiction?,දරුවාගේ ෆෝන්/ටීවී ඇබ්බැහිය අඩු කරන්නේ කෙසේද?,Set a strict schedule and provide alternative activities like drawing or puzzles.,දැඩි කාලසටහනක් තබා චිත්‍ර ඇඳීම වැනි වෙනත් ක්‍රියාකාරකම්වලට ඔවුන්ව යොමු කරන්න.
Is it okay to yell at my child?,දරුවාට කෑගැසීම සුදුසුද?,Yelling can cause fear; try to lower your voice and speak firmly instead.,කෑගැසීමෙන් දරුවා බිය වේ; ඒ වෙනුවට හඬ අඩු කර ස්ථිරව කරුණු පවසන්න.
How do I teach my child to use a fork?,දරුවාට ගෑරුප්පුවක් භාවිතා කිරීමට උගන්වන්නේ කෙසේද?,Start with soft foods like fruit chunks and supervise them closely.,පලතුරු කැබලි වැනි මෘදු ආහාරවලින් පටන් ගෙන සමීපව අධීක්ෂණය කරන්න.
Why does my child refuse to go to bed?,මගේ දරුවා නිදා ගැනීමට අකමැති ඇයි?,"They might fear missing out or being alone; keep a calm, dark environment.",ඔවුන් තනිවීමට බිය විය හැක; නිදන කාමරය සන්සුන්ව සහ අඳුරුව තබා ගන්න.
How can I help a shy child?,ලැජ්ජාශීලී දරුවෙකුට උදවු කරන්නේ කෙසේද?,"Don't label them as ""shy""; slowly introduce them to new people.","ඔවුන්ව ""ලැජ්ජාශීලී"" අයෙකු ලෙස හංවඩු ගසන්න එපා; සෙමින් අලුත් අයට හඳුන්වා දෙන්න."
When should a child know their phone number?,දරුවෙකු තම දුරකථන අංකය දැන සිටිය යුත්තේ කවදාද?,"By age 5, for safety reasons, they should memorize a parent’s number.",ආරක්ෂාව සඳහා වයස අවුරුදු 5 වන විට දෙමාපියන්ගේ අංකය මතක තබා ගත යුතුය.
How do I teach my child to be kind to animals?,සතුන්ට කරුණාව දැක්වීමට දරුවාට උගන්වන්නේ කෙසේද?,Show them how to touch animals gently and explain that animals have feelings.,සතුන් මෘදු ලෙස ස්පර්ශ කරන ආකාරය පෙන්වා දී සතුන්ටත් දැනෙන බව පවසන්න.
Why is my child afraid of the doctor?,මගේ දරුවා දොස්තරට බය ඇයි?,"They associate doctors with pain (injections); play ""doctor"" at home to ease fear.",ඔවුන් වෛද්‍යවරයාව විදින කටු සමඟ සම්බන්ධ කරයි; බිය නැති කිරීමට නිවසේදී දොස්තර සෙල්ලම් කරන්න.
How to handle a child who interrupts?,කතාවට බාධා කරන දරුවෙකු පාලනය කරන්නේ කෙසේද?,Teach them to place a hand on your arm to signal they want to talk.,ඔවුන්ට කතා කිරීමට අවශ්‍ය වූ විට ඔබේ අත මත අත තැබීමට ඔවුන්ට උගන්වන්න.
What is the best way to praise a child?,දරුවෙකු අගය කිරීමට හොඳම ක්‍රමය කුමක්ද?,"Praise their effort (""You worked hard!"") rather than just the result.","ප්‍රතිඵලයට වඩා ඔවුන්ගේ උත්සාහය (""ඔයා ගොඩක් මහන්සි වුණා!"") අගය කරන්න."
How do I get my child ready for kindergarten?,මගේ දරුවා ළදරු පාසල් සඳහා සූදානම් කරන්නේ කෙසේද?,Practice basic skills: counting to 10; recognizing letters; using scissors safely.,මූලික කුසලතා පුහුණු කරන්න: 10 දක්වා ගණන් කිරීම; අකුරු හඳුනා ගැනීම; ආරක්ෂිතව කතුරු භාවිතා කිරීම.
Why does my child have meltdowns?,මගේ දරුවාට මානසික කඩා වැටීම් ඇති වන්නේ ඇයි?,"Overwhelm from tiredness, hunger, or overstimulation; prevent with routines.","තෙහෙට්ටුව, කුසගින්න හෝ අධික උත්තේජනය නිසාය; චර්යාවන්ගෙන් වළකින්න."
How to handle whining?,කෙඳිරිගාන දරුවෙකු පාලනය කරන්නේ කෙසේද?,"Don't respond to whining; teach them to use a ""regular voice.""","කෙඳිරිගෑමට ප්‍රතිචාර නොදක්වන්න; ""සාමාන්‍ය හඬක්"" භාවිතා කිරීමට උගන්වන්න."
