Question (English),Question (Sinhala),Answer (English),Answer (Sinhala)
How do I handle temper tantrums?,කෝපය පුපුරවා හැරීම් පාලනය කරන්නේ කෙසේද?,Stay calm; validate feelings but set firm boundaries.,සන්සුන්ව සිටින්න; හැඟීම් වලංගු කරන්න නමුත් ස්ථිර මායිම් සකසන්න.
What is positive discipline?,ධනාත්මක විනය කුමක්ද?,Teaching through guidance and natural consequences rather than punishment.,දඬුවම වෙනුවට මග පෙන්වීම සහ ස්වභාවික ප්‍රතිඵල හරහා ඉගැන්වීම.
Why does my toddler say "no" to everything?,මගේ දරුවා සෑම දෙයකටම "නැහැ" කියන්නේ ඇයි?,It's a normal developmental stage showing independence around 18-24 months.,එය මාස 18-24 දී පමණ ස්වාධීනත්වය පෙන්වන සාමාන්‍ය සංවර්ධන අවධියකි.
How do I stop biting and hitting?,දෂ්ට කිරීම සහ පහර දීම නවත්වන්නේ කෙසේද?,Immediately remove from situation; teach "gentle touch" and use words.,වහාම තත්වයෙන් ඉවත් කරන්න; "මෘදු ස්පර්ශය" උගන්වන්න සහ වචන භාවිතා කරන්න.
What are effective time-out strategies?,ඵලදායී කාල-අවසන් උපාය මොනවාද?,One minute per year of age in a boring spot; explain why calmly.,කම්මැලි ස්ථානයක වයසට වසරකට මිනිත්තුවක්; ඇයි සන්සුන්ව පැහැදිලි කරන්න.
How can I prevent bad behavior?,නරක හැසිරීම වළක්වන්නේ කෙසේද?,"Clear expectations, consistent routines, adequate sleep, and positive attention.","පැහැදිලි අපේක්ෂාවන්, අඛණ්ඩ චර්යාවන්, ප්‍රමාණවත් නින්ද සහ ධනාත්මක අවධානය."
Is spanking harmful?,ගැසීම හානිකරද?,"Yes, research shows it can lead to aggression and doesn't teach better behavior.","ඔව්, පර්යේෂණ වලින් පෙන්නුම් කරන්නේ එය ආක්‍රමණශීලිත්වයට තුඩු දිය හැකි අතර වඩා හොඳ හැසිරීමක් උගන්වන්නේ නැත."
How do I deal with public tantrums?,ප්‍රසිද්ධ කෝපවීම් පාලනය කරන්නේ කෙසේද?,Stay calm; remove child if possible; consistency matters more than embarrassment.,සන්සුන්ව සිටින්න; හැකි නම් දරුවා ඉවත් කරන්න; ලැජ්ජාවට වඩා අඛණ්ඩව සිටීම වැදගත්ය.
When should I worry about aggressive behavior?,ආක්‍රමණශීලී හැසිරීම ගැන කනස්සල්ලට පත් විය යුත්තේ කවදාද?,"If frequent, intense, and not improving after age 4, seek professional help.","නිතර, තීව්‍ර සහ වයස අවුරුදු 4 ට පසු වැඩිදියුණු නොවන්නේ නම්, වෘත්තීය උපකාරයක් ලබා ගන්න."
How can I teach empathy?,සංවේදනය (empathy) උගන්වන්නේ කෙසේද?,"Label emotions, read books about feelings, model empathy yourself.","හැඟීම් ලේබල් කරන්න, හැඟීම් ගැන පොත් කියවන්න, ඔබම සංවේදනය ආදර්ශයක් කරන්න."
What is the terrible twos?,භයානක දෙකක් (terrible twos) කුමක්ද?,A normal developmental phase where toddlers assert independence; usually peaks around 18-30 months.,දරුවන් ස්වාධීනත්වය ප්‍රකාශ කරන සාමාන්‍ය සංවර්ධන අවධියක්; සාමාන්‍යයෙන් මාස 18-30 දී උච්චයට ළඟා වේ.
How do I handle sibling fights?,සහෝදර සහෝදරියන් අතර ඇති වන රණ්ඩු පාලනය කරන්නේ කෙසේද?,Don't always intervene; teach conflict resolution; separate if physical.,සැමවිටම මැදිහත් නොවන්න; ගැටුම් විසඳීම උගන්වන්න; ශාරීරික නම් වෙන් කරන්න.
What rewards work best?,හොඳම ත්‍යාග ක්‍රියා කරන්නේ කුමක්ද?,"Praise, extra story time, or stickers; avoid using food as reward.","ප්‍රශංසා, අමතර කතා කාලය හෝ ස්ටිකර්; ආහාර ත්‍යාගයක් ලෙස භාවිතා කිරීමෙන් වළකින්න."
Why does my child whine constantly?,මගේ දරුවා නිරන්තරයෙන් කෙඳිරිගාන්නේ ඇයි?,"Often means tired, hungry, or seeking attention; address underlying need.","බොහෝ විට තේරුම වන්නේ වෙහෙසට පත්, කුසගින්නෙන් හෝ අවධානය සොයන ලෙසයි; යටින් පවතින අවශ්‍යතාව ආමන්ත්‍රණය කරන්න."
How do I teach my child to share?,මගේ දරුවට බෙදාගැනීම උගන්වන්නේ කෙසේද?,Model sharing; use timers for turn-taking; praise sharing behavior.,බෙදාහදා ගැනීම ආදර්ශයක් කරන්න; වාරයෙන් වාරයට ගැනීම සඳහා ටයිමර් භාවිතා කරන්න; බෙදාගැනීමේ හැසිරීම අගය කරන්න.
What is redirection?,යළි මාර්ගගත කිරීම (redirection) කුමක්ද?,Guiding a child's attention from inappropriate to appropriate behavior.,දරුවෙකුගේ අවධානය නුසුදුසු හැසිරීමෙන් සුදුසු හැසිරීමට මඟ පෙන්වීම.
How do I handle lying?,බොරු කීම පාලනය කරන්නේ කෙසේද?,"Young kids have active imaginations; teach honesty without harsh punishment.","කුඩා දරුවන්ට ක්‍රියාකාරී මනඃකල්පිතයන් ඇත; දැඩි දඬුවමකින් තොරව අවංකවම උගන්වන්න."
When should consequences be given?,ප්‍රතිඵල ලබා දිය යුත්තේ කවදාද?,Immediately after misbehavior; must be age-appropriate and reasonable.,වැරදි හැසිරීමෙන් පසු වහාම; වයසට ගැලපෙන සහ සාධාරණ විය යුතුය.
Why is my child so defiant?,මගේ දරුවා මෙතරම් විරුද්ධවාදී ඇයි?,Testing boundaries is normal; ensure rules are clear and consistent.,සීමාවන් පරීක්ෂා කිරීම සාමාන්‍යයි; නීති පැහැදිලි සහ අඛණ්ඩ බව සහතික කරන්න.
How can I encourage good behavior?,හොඳ හැසිරීම දිරිමත් කරන්නේ කෙසේද?,Catch them being good; specific praise is more effective than general.,ඔවුන් හොඳින් සිටින විට අල්ලා ගන්න; විශේෂිත ප්‍රශංසාව සාමාන්‍යට වඩා ඵලදායී වේ.
What if my child ignores me?,මගේ දරුවා මාව නොසලකා හරින්නේ නම්?,Get to their level; make eye contact; use simple clear instructions.,ඔවුන්ගේ මට්ටමට යන්න; ඇසට ඇස බලන්න; සරල පැහැදිලි උපදෙස් භාවිතා කරන්න.
How do I handle stealing?,සොරකම් කිරීම පාලනය කරන්නේ කෙසේද?,Young children don't fully understand ownership; teach and have them return item.,කුඩා දරුවන් හිමිකාරීත්වය පූර්ණයෙන් තේරුම් ගෙන නැත; ඉගැන්වීම සහ ඔවුන් භාණ්ඩය ආපසු ලබා දීම.
What are natural consequences?,ස්වාභාවික ප්‍රතිඵල කුමක්ද?,"Results that happen naturally from actions (e.g., wet from refusing coat in rain).","ක්‍රියාවන්ගෙන් ස්වභාවිකව සිදුවන ප්‍රතිඵල (උදාහරණයක් ලෙස, වැස්සේ කබාය ප්‍රතික්ෂේප කිරීමෙන් තෙත් වීම)."
How much screen time is okay?,තිර කාලය කොපමණ ප්‍රමාණයක් සුදුසුද?,"Under 18 months: none; 2-5 years: maximum 1 hour of quality content daily.","මාස 18 ට අඩු: කිසිවක් නැත; අවුරුදු 2-5: දිනපතා උපරිම පැය 1ක ගුණාත්මක අන්තර්ගතය."
