Question (English),Question (Sinhala),Answer (English),Answer (Sinhala)
How do I teach my child to brush their teeth?,මගේ දරුවාට දත් මැදීමට උගන්වන්නේ කෙසේද?,Use a small brush and make it a game; brush together to show them.,කුඩා බුරුසුවක් භාවිතා කර එය සෙල්ලමක් ලෙස කරන්න; ඔවුන්ට පෙන්වීමට ඔබත් සමඟම දත් මදින්න.
When should a child stop using a pacifier?,දරුවෙකු 'සූප්පුව' (pacifier) භාවිතා කිරීම නැවැත්විය යුත්තේ කවදාද?,Most experts suggest weaning off by age 2 to protect dental health.,දත්වල සෞඛ්‍යය ආරක්ෂා කර ගැනීම සඳහා වයස අවුරුදු 2 වන විට එය නතර කිරීම සුදුසුය.
How can I help my child sleep in their own bed?,දරුවාට තනි ඇඳක නිදා ගැනීමට පුරුදු කරන්නේ කෙසේද?,Start a consistent bedtime routine and offer a comfort toy for security.,නියමිත නින්දේ රටාවක් අනුගමනය කරන්න සහ ආරක්ෂිත බව දැනීමට සෙල්ලම් බඩුවක් ලබා දෙන්න.
Why is my child grinding their teeth at night?,මගේ දරුවා රාත්‍රියේ දත් කූරු ගාන්නේ ඇයි?,It’s often due to teething or stress; most children outgrow it.,එය බොහෝ විට දත් ඒම හෝ ආතතිය නිසා සිදු වේ; බොහෝ විට එය කාලයත් සමඟ නැති වේ.
How do I stop my toddler from running into the street?,දරුවා පාරට දිවීම පාලනය කරන්නේ කෙසේද?,"Always hold hands and teach the ""Stop, Look, and Listen"" rule.","සැමවිටම අතින් අල්ලාගෙන ""නැවතී, බලා, සවන් දෙන්න"" යන නීතිය උගන්වන්න."
What should I do if my child swallows a coin?,දරුවා කාසියක් ගිල දැමුවහොත් මම කුමක් කළ යුතුද?,Contact a doctor immediately to ensure it hasn't blocked the airway.,එය ශ්වසන මාර්ගයේ සිරවී නොමැති බව තහවුරු කර ගැනීමට වහාම වෛද්‍යවරයකු හමුවන්න.
How do I teach my child to blow their nose?,දරුවාට සොටු සූරන (blowing nose) ආකාරය උගන්වන්නේ කෙසේද?,"Teach them to blow air out of their nose like a ""dragon"" or ""elephant.""","""අලියෙකු"" මෙන් නාසයෙන් හුස්ම පිට කරන ලෙස ඔවුන්ට උගන්වන්න."
When can a child use a regular cup?,දරුවෙකුට සාමාන්‍ය කෝප්පයක් භාවිතා කළ හැක්කේ කවදාද?,Most can start practicing with an open cup around 12 months.,බොහෝ දෙනාට මාස 12 සිට සාමාන්‍ය කෝප්පයක් පුහුණු විය හැක.
"Why does my child have ""Growing Pains""?","මගේ දරුවාට ""වැඩෙන වේදනා"" (growing pains) ඇති වන්නේ ඇයි?",These are common leg aches at night; gentle massage usually helps.,මෙය රාත්‍රියේ ඇතිවන සාමාන්‍ය කකුලේ වේදනාවකි; මෘදු ලෙස පිරිමැදීමෙන් සහනයක් ලැබේ.
How to handle a child who bites their nails?,නියපොතු හපන දරුවෙකු පාලනය කරන්නේ කෙසේද?,Distract them with hand activities and avoid shaming them.,අත්වලින් කරන වෙනත් වැඩකට දරුවාව යොමු කරන්න; ලැජ්ජාවට පත් කිරීමෙන් වළකින්න.
Is it safe for a 3-year-old to use scissors?,අවුරුදු 3ක දරුවෙකුට කතුරක් භාවිතා කිරීම ආරක්ෂිතද?,Only with child-safe plastic scissors and adult supervision.,ආරක්ෂිත ප්ලාස්ටික් කතුරු පමණක් වැඩිහිටි අධීක්ෂණය යටතේ ලබා දෙන්න.
How do I teach my child about body boundaries?,මගේ දරුවාට ශරීරයේ සීමාවන් (body boundaries) ගැන උගන්වන්නේ කෙසේද?,"Use correct names for body parts and teach that they can say ""No.""","ශරීර අවයව වලට නිවැරදි නම් භාවිතා කර ""එපා"" කීමට ඔවුන්ට අයිතියක් ඇති බව උගන්වන්න."
When should my child start wearing shoes?,මගේ දරුවා සපත්තු පැළඳිය යුත්තේ කවදාද?,Only when they start walking outside; barefoot is best for indoors.,ඔවුන් පිටත ඇවිදීමට පටන් ගත් විට පමණි; නිවස තුළ පාවහන් නොමැතිව සිටීම හොඳය.
"How to handle ""night terrors""?",දරුවා රාත්‍රියේ බිය වී කෑගැසීම (night terrors) පාලනය කරන්නේ කෙසේද?,Don't wake them; stay nearby to ensure they are safe until it ends.,ඔවුන් ඇහැරවන්න එපා; එය අවසන් වන තුරු ඔවුන් අසලින් රැඳී සිටින්න.
Why is my child so clumsy?,මගේ දරුවා නිතරම වැටෙන්නේ හෝ හැප්පෙන්නේ ඇයි?,"Their motor skills are still developing, and their balance is improving.",ඔවුන්ගේ මාංශ පේශි පාලනය තවමත් වර්ධනය වෙමින් පවතින බැවින් එය සාමාන්‍යය.
