Question (English),Question (Sinhala),Answer (English),Answer (Sinhala)
When should I introduce solid foods?,මම ඝන ආහාර හඳුන්වා දිය යුත්තේ කවදාද?,Around 6 months when your baby shows signs of readiness.,ඔබේ දරුවා සූදානම බව පෙන්වන විට මාස 6 දී පමණ.
What are the best first foods for babies?,බිළිඳුන් සඳහා හොඳම පළමු ආහාර මොනවාද?,"Iron-fortified cereals, pureed vegetables, and fruits.","යකඩ සහිතව ශක්තිමත් කළ ධාන්‍ය, පිරිසිදු කළ එළවළු සහ පලතුරු."
How much milk should my toddler drink?,මගේ දරුවා කිරි කොපමණ ප්‍රමාණයක් පානය කළ යුතුද?,About 2-3 cups (16-24 oz) of whole milk per day.,දිනකට සම්පූර්ණ කිරි කෝප්ප 2-3 (oz 16-24) පමණ.
Is it okay to give my baby water?,මගේ දරුවාට ජලය ලබා දීම සුදුසුද?,"After 6 months yes, but breast milk or formula is primary before 12 months.","මාස 6 ට පසු ඔව්, නමුත් මාස 12 ට පෙර මව්කිරි හෝ කළකිරි ප්‍රධාන වේ."
How do I prevent choking hazards?,හුස්ම හිරවීමේ අනතුරු වළක්වන්නේ කෙසේද?,"Cut food into small pieces, avoid hard foods, and supervise eating.","ආහාර කුඩා කෑලිවලට කපන්න, දෘඪ ආහාර වළක්වා, ආහාර ගැනීම අධීක්ෂණය කරන්න."
What should I do if my child is a picky eater?,මගේ දරුවා ආහාර තෝරාගන්නෙකු නම් මම කුමක් කළ යුතුද?,Keep offering variety without pressure; it can take 10-15 tries.,පීඩනයකින් තොරව විවිධත්වයක් ඉදිරිපත් කරන්න; එයට උත්සාහ 10-15ක් ගත විය හැක.
How much protein does my toddler need?,මගේ දරුවාට ප්‍රෝටීන් කොපමණ ප්‍රමාණයක් අවශ්‍යද?,About 13 grams per day from sources like meat; eggs; beans; and dairy.,මස්; බිත්තර; බෝංචි සහ කිරි වැනි ප්‍රභවයන්ගෙන් දිනකට ග්‍රෑම් 13ක් පමණ.
Can I give my baby juice?,මට මගේ දරුවාට පළතුරු යුෂ ලබා දිය හැකිද?,"Limit to 4 oz per day after age 1, 100% fruit juice only.","වයස අවුරුදු 1 ට පසු දිනකට oz 4 දක්වා සීමා කරන්න, 100% පළතුරු යුෂ පමණක්."
What are good snack options for toddlers?,දරුවන් සඳහා හොඳ සුලු ආහාර විකල්ප මොනවාද?,"Fresh fruit, cheese cubes, whole grain crackers, yogurt.","නැවුම් පලතුරු, චීස් කැට, සම්පූර්ණ ධාන්‍ය ක්‍රැකර්, යෝගට්."
How do I know if my child has a food allergy?,මගේ දරුවාට ආහාර අසාත්මිකතාවක් ඇති දැයි දැන ගන්නේ කෙසේද?,"Watch for rashes, swelling, vomiting, or difficulty breathing.","කුෂ්ඨ, ඉදිමීම, වමනය හෝ හුස්ම ගැනීමේ අපහසුව නිරීක්ෂණය කරන්න."
