Question (English),Question (Sinhala),Answer (English),Answer (Sinhala)
"How do I teach my child to say ""Please""?","මගේ දරුවාට ""කරුණාකර"" කියා පවසන්න උගන්වන්නේ කෙසේද?",Model the behavior yourself; children copy what parents say.,ඔබම එම වචනය භාවිතා කරන්න; දරුවන් දෙමාපියන් පවසන දේ අනුකරණය කරයි.
Is it okay for a 3-year-old to play alone?,අවුරුදු 3ක දරුවෙකු තනියම සෙල්ලම් කිරීම සුදුසුද?,"Yes, independent play helps develop focus and creativity.","ඔව්, තනිව සෙල්ලම් කිරීම අවධානය සහ නිර්මාණශීලිත්වය වර්ධනය කිරීමට උපකාරී වේ."
When should a child start naming colors?,දරුවෙකු වර්ණ නම් කිරීමට පටන් ගත යුත්තේ කවදාද?,Most children can identify at least one color by age 3.,බොහෝ දරුවන්ට වයස අවුරුදු 3 වන විට අවම වශයෙන් එක් වර්ණයක්වත් හඳුනාගත හැකිය.
"How can I help with ""Stranger Danger""?",නන්නාඳුනන අය ගැන බියක් දරුවාට ඇති කරන්නේ කෙසේද?,Teach them to always ask you before going anywhere with someone.,ඕනෑම අයෙකු සමඟ යාමට පෙර සැමවිටම ඔබෙන් විමසීමට ඔවුන්ට උගන්වන්න.
Why is my 2-year-old biting others?,මගේ අවුරුදු 2ක දරුවා අන් අයට හපන්නේ ඇයි?,Biting is often a way to express frustration before they have words.,හපා කෑම බොහෝ විට වචන නොමැති විට තම නොසන්සුන්කම ප්‍රකාශ කරන ක්‍රමයකි.
How many words should a 2-year-old know?,අවුරුදු 2ක දරුවෙකු වචන කීයක් දැන සිටිය යුතුද?,Most 2-year-olds can say about 50 words or more.,බොහෝ අවුරුදු 2ක දරුවන්ට වචන 50ක් හෝ ඊට වැඩි ගණනක් පැවසිය හැකිය.
Should I correct my child's grammar?,මම මගේ දරුවාගේ ව්‍යාකරණ වැරදි නිවැරදි කළ යුතුද?,"Instead of correcting, repeat the sentence back correctly to them.","වැරදි පෙන්වා දෙනවා වෙනුවට, නිවැරදි වාක්‍යය ඔවුන්ට නැවත පවසන්න."
When can a child hold a pencil correctly?,දරුවෙකුට පැන්සලක් නිවැරදිව අල්ලා ගත හැක්කේ කවදාද?,"Most develop a proper ""tripod grip"" between ages 4 and 6.",බොහෝ දෙනා අවුරුදු 4ත් 6ත් අතර කාලයේදී නිවැරදිව පැන්සල අල්ලති.
How to handle a child who refuses to bathe?,නෑම ප්‍රතික්ෂේප කරන දරුවෙකු පාලනය කරන්නේ කෙසේද?,Make it fun with bath toys or bubbles to reduce their fear.,ඔවුන්ගේ බිය අඩු කිරීමට සෙල්ලම් බඩු හෝ සබන් බෝල භාවිතා කර එය විනෝදජනක කරන්න.
Is it normal for a 4-year-old to lie?,අවුරුදු 4ක දරුවෙකු බොරු කීම සාමාන්‍ය දෙයක්ද?,"Yes, they are testing the boundary between reality and fantasy.","ඔව්, ඔවුන් සැබෑව සහ මනඃකල්පිතය අතර වෙනස වටහා ගැනීමට උත්සාහ කරති."
How do I teach my child their full name?,මගේ දරුවාට ඔවුන්ගේ සම්පූර්ණ නම උගන්වන්නේ කෙසේද?,Use songs or rhymes to help them memorize their name and address.,ගීත හෝ කවි භාවිතා කර ඔවුන්ගේ නම සහ ලිපිනය මතක තබා ගැනීමට උදවු කරන්න.
Why does my child repeat the same story?,මගේ දරුවා එකම කතාව නැවත නැවත කියන්නේ ඇයි?,Repetition helps children process information and feel secure.,නැවත නැවත කිරීම දරුවන්ට තොරතුරු තේරුම් ගැනීමට සහ ආරක්ෂිත බවක් දැනීමට උපකාරී වේ.
