Question (English),Question (Sinhala),Answer (English),Answer (Sinhala)
When should my baby say their first word?,මගේ දරුවා ඔවුන්ගේ පළමු වචනය කිව යුත්තේ කවදාද?,Most babies say their first word between 10 and 14 months.,බොහෝ බිළිඳුන් මාස 10 සහ 14 අතර කාලයේදී ඔවුන්ගේ පළමු වචනය කියති.
How many words should a 2-year-old know?,අවුරුදු 2ක දරුවෙකු වචන කීයක් දැන සිටිය යුතුද?,Around 50 words and starting to combine two-word phrases.,වචන 50ක් පමණ සහ වචන දෙකක වාක්‍ය ඛණ්ඩ ඒකාබද්ධ කිරීම ආරම්භ කිරීම.
What is baby babbling?,ළදරු බැල්බලින් (babbling) කුමක්ද?,Repeating sounds like "ba-ba" or "da-da"; normal language development.,"ba-ba හෝ da-da වැනි ශබ්ද නැවත නැවතත් කිරීම; සාමාන්‍ය භාෂා සංවර්ධනය."
Should I be worried if my child isn't talking?,මගේ දරුවා කතා නොකරන්නේ නම් මම කනස්සල්ලට පත් විය යුතුද?,"If by 18 months no words, or by 2 years no two-word phrases, consult a doctor.","මාස 18 වන විට වචන නොමැති නම්, හෝ අවුරුදු 2 වන විට වචන දෙකක වාක්‍ය ඛණ්ඩ නොමැති නම්, වෛද්‍යවරයකු හමුවන්න."
How can I encourage my child to talk?,මගේ දරුවා කතා කිරීමට දිරිමත් කරන්නේ කෙසේද?,"Talk constantly, read books, narrate your day, and respond to their sounds.","නිරන්තරයෙන් කතා කරන්න, පොත් කියවන්න, ඔබේ දවස විස්තර කරන්න සහ ඔවුන්ගේ ශබ්දවලට ප්‍රතිචාර දක්වන්න."
Is it normal for toddlers to stutter?,දරුවන් රොත රොත කතා කිරීම සාමාන්‍ය දෙයක්ද?,"Yes, mild stuttering between ages 2-5 is normal as they learn language.","ඔව්, අවුරුදු 2-5 අතර සුළු රොත රොත කතා කිරීම භාෂාව ඉගෙන ගන්නා විට සාමාන්‍යයි."
Should I correct my child's grammar?,මම මගේ දරුවාගේ ව්‍යාකරණ නිවැරදි කළ යුතුද?,Don't correct directly; model the correct way in your response.,කෙලින්ම නිවැරදි නොකරන්න; ඔබේ ප්‍රතිචාරයේ නිවැරදි ක්‍රමය ආදර්ශයක් කරන්න.
What are language milestones by age 3?,වයස අවුරුදු 3 වන විට භාෂා සන්ධිස්ථාන මොනවාද?,"Should speak in 3-4 word sentences, be understood by strangers 75% of the time.","වචන 3-4 වාක්‍යවලින් කතා කළ යුතුය, නන්නාදුනන අයට 75% කාලයක් තේරුම් ගත හැකි විය යුතුය."
How much should I read to my baby?,මම මගේ දරුවාට කොපමණ කියවිය යුතුද?,Daily reading from birth helps language development; even 10 minutes counts.,උපතේ සිටම දිනපතා කියවීම භාෂා සංවර්ධනයට උපකාරී වේ; විනාඩි 10ක් පවා ගණන් ගනී.
What if my child mixes languages?,මගේ දරුවා භාෂා මිශ්‍ර කරන්නේ නම්?,This is normal in bilingual households; they'll separate them later.,ද්විභාෂා නිවාස වල මෙය සාමාන්‍යයි; ඔවුන් පසුව ඒවා වෙන් කරනු ඇත.
How can I teach new vocabulary?,නව වචන මාලාව උගන්වන්නේ කෙසේද?,"Name objects, describe actions, expand on what they say.","වස්තු නම් කරන්න, ක්‍රියා විස්තර කරන්න, ඔවුන් කියන දේ පුළුල් කරන්න."
Is screen time bad for language development?,තිර කාලය භාෂා සංවර්ධනය සඳහා නරකද?,"Yes, under 18 months avoid screens; real interaction is crucial.","ඔව්, මාස 18 ට අඩු විට තිර වළක්වන්න; සැබෑ අන්තර්ක්‍රියා තීරණාත්මකය."
When do children understand pronouns?,දරුවන් සර්වනාම තේරුම් ගන්නේ කවදාද?,"Around age 3-4, but mastery takes longer.","වයස අවුරුදු 3-4 දී පමණ, නමුත් ප්‍රවීණත්වය වැඩි කාලයක් ගනී."
What are signs of a speech delay?,කථන ප්‍රමාදයක සං signs මොනවාද?,"Not babbling by 12 months, no words by 16 months, limited words by 2 years.","මාස 12 වන විට බ්ලබල් නොකිරීම, මාස 16 වන විට වචන නැත, අවුරුදු 2 වන විට සීමිත වචන."
Should I use baby talk?,මම ළදරු කතාව භාවිතා කළ යුතුද?,"Infant-directed speech (higher pitch) is natural, but use real words.","ළදරු-නිර්දේශිත කථනය (ඉහළ තණතීරුව) ස්වභාවිකය, නමුත් සැබෑ වචන භාවිතා කරන්න."
How can music help language skills?,සංගීතය භාෂා කුසලතාවන්ට උපකාර කරන්නේ කෙසේද?,"Songs teach rhythm, rhyme, and new vocabulary in a fun way.","ගීත විනෝදජනක ආකාරයෙන් රිද්මය, කවි සහ නව වචන මාලාව උගන්වයි."
What if my child only points?,මගේ දරුවා පෙන්වන්නේ පමණක් නම්?,Pointing is communication; encourage words by modeling ("You want milk?").,ලකුණු කිරීම සන්නිවේදනයයි; ආදර්ශ කිරීමෙන් වචන දිරිමත් කරන්න ("ඔයාට කිරි ඕනද?").
When should my child speak in full sentences?,මගේ දරුවා සම්පූර්ණ වාක්‍යවලින් කතා කළ යුත්තේ කවදාද?,"By age 4-5, most children use complete sentences regularly.","වයස අවුරුදු 4-5 වන විට, බොහෝ දරුවන් නිතිපතා සම්පූර්ණ වාක්‍ය භාවිතා කරති."
How do I know if my child needs speech therapy?,මගේ දරුවාට කථන චිකිත්සාව අවශ්‍ය දැයි දන්නේ කෙසේද?,If speech is significantly behind milestones; ask pediatrician for evaluation.,කථනය සන්ධිස්ථානවලට වඩා කැපී පෙනෙන ලෙස පසුගාමී නම්; ඇගයීමක් සඳහා ළමා වෛද්‍යවරයාගෙන් විමසන්න.
Can pacifiers affect speech?,කිකිළිමැක්කන් කථනයට බලපාන්නේද?,"Prolonged use past age 2-3 can affect teeth and speech development.","වයස අවුරුදු 2-3 ට වඩා දිගු භාවිතය දත් සහ කථන සංවර්ධනයට බලපෑ හැක."
What is the vocabulary spurt?,වචන මාලා ගසා හැරීම (vocabulary spurt) කුමක්ද?,A rapid period of word learning around 18-24 months.,මාස 18-24 දී පමණ වචන ඉගෙනීමේ වේගවත් කාල පරිච්ෙඡ්දයක්.
Should I teach sign language to my baby?,මම මගේ දරුවාට සං sign භාෂාව උගන්වා යුතුද?,"Yes, baby signs can reduce frustration and support language development.","ඔව්, ළදරු සං signs කලකිරීම අඩු කළ හැකි අතර භාෂා සංවර්ධනයට සහාය වේ."
How do I expand my child's vocabulary?,මගේ දරුවාගේ වචන මාලාව පුළුල් කරන්නේ කෙසේද?,"Use descriptive words, talk about feelings, read diverse books.","විස්තරාත්මක වචන භාවිතා කරන්න, හැඟීම් ගැන කතා කරන්න, විවිධ පොත් කියවන්න."
Why does my child repeat everything I say?,මගේ දරුවා මම කියන සෑම දෙයක්ම නැවත නැවත කියන්නේ ඇයි?,"Echolalia is normal in language learning, usually fades by age 3.","Echolalia භාෂා ඉගෙනීමේදී සාමාන්‍යයි, සාමාන්‍යයෙන් වයස අවුරුදු 3 වන විට මැකී යයි."
When should my child use "I" instead of their name?,මගේ දරුවා ඔවුන්ගේ නම වෙනුවට "මම" යොදා ගත යුත්තේ කවදාද?,Around age 2-3 as they develop sense of self.,වයස අවුරුදු 2-3 දී පමණ ඔවුන් තමන් ගැන හැඟීමක් වර්ධනය වන විට.
