Question (English),Question (Sinhala),Answer (English),Answer (Sinhala)
How long should a newborn sleep?,අලුත උපන් බිළිඳෙකු කොපමණ වේලාවක් නිදාගත යුතුද?,Newborns usually sleep 14 to 17 hours a day in short bursts.,අලුත උපන් බිළිඳුන් සාමාන්‍යයෙන් දිනකට පැය 14 සිට 17 දක්වා වරින් වර නිදා ගනී.
When should I start solid foods?,මම ඝන ආහාර ලබා දීම ආරම්භ කළ යුත්තේ කවදාද?,"Usually around 6 months, when the baby can sit up and shows interest.","සාමාන්‍යයෙන් මාස 6 දී පමණ, දරුවාට කෙලින් සිටිය හැකි වූ විට සහ ආහාර කෙරෙහි උනන්දුවක් දක්වන විට."
Why is my toddler having tantrums?,මගේ දරුවා මෙතරම් කේන්ති ගන්නේ ඇයි?,Tantrums are a normal way for toddlers to express frustration before they can speak well.,දරුවන්ට හොඳින් කතා කිරීමට පෙර තම නොසන්සුන්කම ප්‍රකාශ කිරීමට ඇති සාමාන්‍ය ක්‍රමය මෙයයි.
How do I stop thumb sucking?,දරුවා මහපට ඇඟිල්ල ඉරීම නතර කරන්නේ කෙසේද?,Most children stop on their own by age 4; use positive reinforcement rather than scolding.,බොහෝ දරුවන් වයස අවුරුදු 4 වන විට එය නතර කරයි; බැන වැදීමට වඩා දිරිගැන්වීම් භාවිතා කරන්න.
When should I start potty training?,මම වැසිකිළි පුහුණුව (potty training) ආරම්භ කළ යුත්තේ කවදාද?,Most children are ready between 18 months and 3 years old.,බොහෝ දරුවන් මාස 18 සිට අවුරුදු 3 දක්වා කාලය තුළ මේ සඳහා සූදානම් වේ.
How much milk does a 1-year-old need?,අවුරුදු 1ක දරුවෙකුට කිරි කොපමණ ප්‍රමාණයක් අවශ්‍යද?,About 2 cups (16 ounces) of whole milk per day is usually sufficient.,දිනකට සම්පූර්ණ යොදය සහිත කිරි කෝප්ප 2ක් (අවුන්ස 16ක්) පමණ ප්‍රමාණවත් වේ.
Why does my baby cry at night?,මගේ දරුවා රාත්‍රියේ හඬන්නේ ඇයි?,"It could be hunger, a wet diaper, teething, or a need for comfort.","එය බඩගින්න, තෙත් වූ නැපි, දත් ඒම හෝ සැනසීමක් අවශ්‍ය වීම නිසා විය හැක."
Is screen time okay for 2-year-olds?,අවුරුදු 2ක දරුවෙකුට ෆෝන්/ටීවී බැලීම සුදුසුද?,It is recommended to limit screen time to less than 1 hour of high-quality programming.,ගුණාත්මක වැඩසටහන් සඳහා දිනකට පැය 1කට වඩා අඩු කාලයකට සීමා කිරීම නිර්දේශ කෙරේ.
When do babies start talking?,බබාලා කතා කරන්න පටන් ගන්නේ කවදාද?,Most babies say their first simple words between 10 and 14 months.,බොහෝ බබාලා මාස 10ත් 14ත් අතර කාලයේදී ඔවුන්ගේ පළමු වචන පවසති.
How can I treat a diaper rash?,නැපි රෑෂ් (diaper rash) එකක් සුව කරන්නේ කෙසේද?,"Keep the area clean and dry, and use a zinc-oxide based diaper cream.","ප්‍රදේශය පිරිසිදුව හා වියලිව තබා ගන්න, සින්ක් ඔක්සයිඩ් අඩංගු ක්‍රීම් වර්ගයක් භාවිතා කරන්න."
"My child is a picky eater, what should I do?","මගේ දරුවා කෑම තෝරනවා, මම මොකද කරන්නේ?",Keep offering new foods without pressure; it can take 10+ tries for them to accept it.,බලපෑමකින් තොරව අලුත් ආහාර දිගටම ලබා දෙන්න; එය පිළිගැනීමට 10 වතාවකට වඩා උත්සාහ කිරීමට සිදුවිය හැක.
When should a child see a dentist?,දරුවෙකු දන්ත වෛද්‍යවරයෙකු වෙත යා යුත්තේ කවදාද?,By their first birthday or when their first tooth appears.,පළමු උපන්දිනය වන විට හෝ පළමු දත පැමිණි විට.
How do I lower a baby's fever?,දරුවෙකුගේ උණ අඩු කරන්නේ කෙසේද?,Use doctor-recommended paracetamol and keep the child hydrated.,වෛද්‍යවරයා නිර්දේශ කළ පැරසිටමෝල් ලබා දී දරුවාට දියර වර්ග වැඩියෙන් ලබා දෙන්න.
Why is my 3-year-old hitting others?,මගේ අවුරුදු 3ක දරුවා අන් අයට ගහන්නේ ඇයි?,"They are learning self-control; teach them to use ""words instead of hands.""","ඔවුන් තමන්ව පාලනය කර ගැනීමට ඉගෙන ගනිමින් සිටියි; ""අත වෙනුවට වචන"" භාවිතා කිරීමට ඔවුන්ට උගන්වන්න."
Should I wake my baby to feed?,කිරි දීමට බබාව ඇහැරවිය යුතුද?,Only in the first few weeks if the baby hasn't regained birth weight.,උපන් බර නැවත ලබා ගන්නා තෙක් පළමු සති කිහිපය තුළ පමණක් එසේ කිරීම ප්‍රමාණවත් වේ.
How do I help a teething baby?,දත් එන දරුවෙකුට සහනයක් ලබා දෙන්නේ කෙසේද?,Give them a cold teething ring or gently massage their gums.,සීතල 'teething ring' එකක් ලබා දෙන්න හෝ විදුරුමස් මෘදු ලෙස පිරිමදින්න.
When do kids stop napping?,ළමයින් දහවල් නින්ද නතර කරන්නේ කවදාද?,Most children stop napping between ages 3 and 5.,බොහෝ දරුවන් අවුරුදු 3 සිට 5 දක්වා කාලය තුළ දහවල් නින්ද නතර කරති.
"How to handle ""separation anxiety""?",දරුවා මගෙන් වෙන්වීමට බිය වීම (separation anxiety) පාලනය කරන්නේ කෙසේද?,Keep goodbyes short and consistent so the child knows you will return.,"සමුගැනීමේ වේලාව කෙටි කරන්න, එවිට ඔබ නැවත එන බව දරුවාට වැටහෙනු ඇත."
Is it normal for a 4-year-old to have imaginary friends?,අවුරුදු 4ක දරුවෙකුට මනඃකල්පිත මිතුරන් සිටීම සාමාන්‍ය දෙයක්ද?,"Yes, it is a sign of a healthy and creative imagination.","ඔව්, එය සෞඛ්‍ය සම්පන්න සහ නිර්මාණාත්මක පරිකල්පනයක ලක්ෂණයකි."
How often should I bathe my baby?,මම දරුවාව කොපමණ වාරයක් නැවිය යුතුද?,3 times a week is usually enough for newborns to avoid drying their skin.,සම වියළීම වැළැක්වීම සඳහා අලුත උපන් බිළිඳුන්ට සතියකට 3 වතාවක් ප්‍රමාණවත් වේ.
What are the signs of dehydration?,විජලනය වීමේ ලක්ෂණ මොනවාද?,"Fewer wet diapers, dry mouth, and crying without tears.","මුත්‍රා පිටවන වාර ගණන අඩුවීම, කට වියළීම සහ කඳුළු නොමැතිව හැඬීම."
When can my child start swimming lessons?,මගේ දරුවාට පිහිනුම් පාඩම් ආරම්භ කළ හැක්කේ කවදාද?,"Usually around age 4, but water familiarity classes can start earlier.","සාමාන්‍යයෙන් අවුරුදු 4 දී පමණ, නමුත් ජලයට හුරු කිරීමේ පන්ති ඊට පෙර ආරම්භ කළ හැක."
Why is my child afraid of the dark?,මගේ දරුවා අඳුරට බය ඇයි?,Their imagination is developing; use a nightlight to comfort them.,ඔවුන්ගේ පරිකල්පන ශක්තිය වර්ධනය වෙමින් පවතී; සහනයක් සඳහා කුඩා රාත්‍රී පහනක් භාවිතා කරන්න.
How can I encourage sharing?,බෙදාහදා ගැනීම දිරිමත් කරන්නේ කෙසේද?,Use a timer for turns and praise the child when they share.,මාරුවෙන් මාරුවට සෙල්ලම් කිරීමට කාලය නියම කරන්න සහ ඔවුන් බෙදා ගන්නා විට අගය කරන්න.
When should a child use a spoon?,දරුවෙකු හැන්දක් භාවිතා කළ යුත්තේ කවදාද?,Most start practicing at 12 months and get good by 18-24 months.,බොහෝ දෙනා මාස 12 දී පුහුණු වන අතර මාස 18-24 වන විට එය හොඳින් කළ හැක.How much fruit should my toddler eat daily?,මගේ දරුවා දිනකට පලතුරු කොපමණ ප්‍රමාණයක් කා යුතුද?,About 1 to 1.5 cups of fruit per day is recommended.,දිනකට කෝප්ප 1 සිට 1.5 දක්වා පලතුරු ප්‍රමාණයක් නිර්දේශ කෙරේ.
When should I worry about my baby's weight?,මගේ දරුවාගේ බර ගැන මම කනස්සල්ලට පත් විය යුත්තේ කවදාද?,If your baby is not gaining weight consistently; consult your pediatrician.,ඔබේ දරුවා නිරන්තරයෙන් බර වැඩි නොවන්නේ නම් ළමා වෛද්‍යවරයා හමුවන්න.
Why does my baby spit up so much?,මගේ බිළිඳා කිරි මෙතරම් පිටවන්නේ ඇයි?,Spitting up is normal in babies due to immature digestive systems.,ආහාර ජීරණ පද්ධතිය නොමේරූ බැවින් කිරි පිටවීම බිළිඳුන්ට සාමාන්‍යයි.
How do I know if my child has allergies?,මගේ දරුවාට අසාත්මිකතා ඇති දැයි දැන ගන්නේ කෙසේද?,"Watch for rashes, swelling, breathing issues after eating certain foods.","ආහාර ගැනීමෙන් පසු කුෂ්ඨ, ඉදිමීම, හුස්ම ගැනීමේ ගැටළු නිරීක්ෂණය කරන්න."
When do babies drop their morning nap?,බබාලා උදෑසන නින්ද නතර කරන්නේ කවදාද?,Most babies transition to one nap between 15 to 18 months.,බොහෝ බබාලා මාස 15 සිට 18 අතර කාලයේදී එක් නින්දකට මාරු වේ.
Should I give my child vitamins?,මම මගේ දරුවාට විටමින් ලබා දිය යුතුද?,Talk to your doctor; vitamin D is often recommended for babies.,වෛද්‍යවරයා සමඟ සාකච්ඡා කරන්න; බිළිඳුන් සඳහා විටමින් D බොහෝ විට නිර්දේශ කෙරේ.
How to deal with constipation in toddlers?,දරුවන්ගේ මලබද්ධය පාලනය කරන්නේ කෙසේද?,Increase fiber and water intake; prunes and pears can help naturally.,තන්තු සහ ජලය වැඩි කරන්න; සුරාම් සහ පෙයාර්ස් ස්වභාවිකව උපකාරී වේ.
When should my child give up the bottle?,මගේ දරුවා බෝතලය අත්හැරිය යුත්තේ කවදාද?,Most experts suggest transitioning to a cup by 12 to 18 months.,බොහෝ විශේෂඥයින් මාස 12 සිට 18 දක්වා කාලය තුළ කෝප්පයකට මාරු වීමට යෝජනා කරයි.
Why is my toddler not gaining weight?,මගේ දරුවාගේ බර වැඩි නොවන්නේ ඇයි?,They may be very active; as long as they're healthy and eating well it's okay.,ඔවුන් ඉතා ක්‍රියාශීලී විය හැක; ඔවුන් සෞඛ්‍ය සම්පන්නව හොඳින් කනවා නම් එය සාමාන්‍යයි.
How often should my baby have a bowel movement?,මගේ දරුවා කොපමණ වාරයක් මළපහ කළ යුතුද?,"Breastfed babies vary widely; formula-fed typically go daily.",මව්කිරි පානය කරන බබාලා වෙනස් වේ; කළ කිරි පානයකරන බබාලා සාමාන්‍යයෙන් දිනපතා යති.
Can I give honey to my 1-year-old?,මට මගේ අවුරුදු 1ක දරුවාට මී පැණි ලබා දිය හැකිද?,"Yes, after age 1; never give honey to babies under 12 months.","ඔව්, වයස අවුරුදු 1 ට පසු; මාස 12 ට අඩු බිළිඳුන්ට කිසිදා මී පැණි ලබා නොදෙන්න."
Why does my child wake up at night?,මගේ දරුවා රාත්‍රියේ අවදි වන්නේ ඇයි?,"Could be hunger, discomfort, nightmares, or a sleep regression phase.","එය බඩගින්න, අපහසුතාව, බියකරු සිහින හෝ නින්දේ පසුබෑමක් විය හැක."
How do I handle food refusal?,ආහාර ප්‍රතික්ෂේප කිරීම පාලනය කරන්නේ කෙසේද?,Don't force; offer variety and keep mealtimes stress-free.,බල නොකරන්න; විවිධත්වයක් ලබා දී ආහාර වේලාවන් ආතතිය රහිත කරන්න.
When can my baby eat eggs?,මගේ දරුවාට බිත්තර කන්න පුළුවන් වන්නේ කවදාද?,Eggs can be introduced around 6 months as part of solid foods.,බිත්තර මාස 6 දී පමණ ඝන ආහාරවල කොටසක් ලෙස හඳුන්වා දිය හැක.
Is it normal for babies to sleep with their eyes open?,බබාලා ඇස් ඇරගෙන නිදා ගැනීම සාමාන්‍ය දෙයක්ද?,"Yes, this is called nocturnal lagophthalmos and is usually harmless.","ඔව්, මෙය nocturnal lagophthalmos ලෙස හැඳින්වෙන අතර සාමාන්‍යයෙන් හානිකර නැත."
How to introduce peanut butter safely?,රටකජු බටර් ආරක්ෂිතව හඳුන්වා දෙන්නේ කෙසේද?,Start with a small amount mixed into food around 6 months; watch for reactions.,මාස 6 දී පමණ කුඩා ප්‍රමාණයක් ආහාරයට මිශ්‍ර කර ආරම්භ කරන්න; ප්‍රතික්‍රියා නිරීක්ෂණය කරන්න.
